Gene	TPM	Tissue	Source
BRCA1	1.97066	adipose_subcutaneous	GTEx.v10
BRCA1	1.13325	adipose_subcutaneous	GTEx.v10
BRCA1	2.30733	adipose_subcutaneous	GTEx.v10
BRCA1	2.21215	adipose_subcutaneous	GTEx.v10
BRCA1	1.6216	adipose_subcutaneous	GTEx.v10
BRCA1	1.12161	adipose_subcutaneous	GTEx.v10
BRCA1	0.510766	adipose_subcutaneous	GTEx.v10
BRCA1	1.10045	adipose_subcutaneous	GTEx.v10
BRCA1	1.372	adipose_subcutaneous	GTEx.v10
BRCA1	2.14079	adipose_subcutaneous	GTEx.v10
BRCA1	1.1308	adipose_subcutaneous	GTEx.v10
BRCA1	0.593825	adipose_subcutaneous	GTEx.v10
BRCA1	1.25642	adipose_subcutaneous	GTEx.v10
BRCA1	2.22238	adipose_subcutaneous	GTEx.v10
BRCA1	1.63622	adipose_subcutaneous	GTEx.v10
BRCA1	1.71528	adipose_subcutaneous	GTEx.v10
BRCA1	1.12217	adipose_subcutaneous	GTEx.v10
BRCA1	0.757707	adipose_subcutaneous	GTEx.v10
BRCA1	1.60205	adipose_subcutaneous	GTEx.v10
BRCA1	1.40513	adipose_subcutaneous	GTEx.v10
BRCA1	1.3118	adipose_subcutaneous	GTEx.v10
BRCA1	1.86837	adipose_subcutaneous	GTEx.v10
BRCA1	0.987301	adipose_subcutaneous	GTEx.v10
BRCA1	1.36653	adipose_subcutaneous	GTEx.v10
BRCA1	0.761464	adipose_subcutaneous	GTEx.v10
BRCA1	1.35138	adipose_subcutaneous	GTEx.v10
BRCA1	1.22041	adipose_subcutaneous	GTEx.v10
BRCA1	1.13662	adipose_subcutaneous	GTEx.v10
BRCA1	1.11551	adipose_subcutaneous	GTEx.v10
BRCA1	1.10693	adipose_subcutaneous	GTEx.v10
BRCA1	1.63843	adipose_subcutaneous	GTEx.v10
BRCA1	1.96862	adipose_subcutaneous	GTEx.v10
BRCA1	1.79417	adipose_subcutaneous	GTEx.v10
BRCA1	1.34093	adipose_subcutaneous	GTEx.v10
BRCA1	1.20468	adipose_subcutaneous	GTEx.v10
BRCA1	0.899382	adipose_subcutaneous	GTEx.v10
BRCA1	0.944623	adipose_subcutaneous	GTEx.v10
BRCA1	1.91821	adipose_subcutaneous	GTEx.v10
BRCA1	1.18837	adipose_subcutaneous	GTEx.v10
BRCA1	0.67176	adipose_subcutaneous	GTEx.v10
BRCA1	0.537428	adipose_subcutaneous	GTEx.v10
BRCA1	1.55904	adipose_subcutaneous	GTEx.v10
BRCA1	0.909912	adipose_subcutaneous	GTEx.v10
BRCA1	0.890351	adipose_subcutaneous	GTEx.v10
BRCA1	1.49158	adipose_subcutaneous	GTEx.v10
BRCA1	1.35648	adipose_subcutaneous	GTEx.v10
BRCA1	1.3013	adipose_subcutaneous	GTEx.v10
BRCA1	2.47889	adipose_subcutaneous	GTEx.v10
BRCA1	0.553864	adipose_subcutaneous	GTEx.v10
BRCA1	0.58959	adipose_subcutaneous	GTEx.v10
BRCA1	1.52311	adipose_subcutaneous	GTEx.v10
BRCA1	1.2933	adipose_subcutaneous	GTEx.v10
BRCA1	1.25419	adipose_subcutaneous	GTEx.v10
BRCA1	1.21967	adipose_subcutaneous	GTEx.v10
BRCA1	0.838695	adipose_subcutaneous	GTEx.v10
BRCA1	1.07836	adipose_subcutaneous	GTEx.v10
BRCA1	1.65346	adipose_subcutaneous	GTEx.v10
BRCA1	0.522817	adipose_subcutaneous	GTEx.v10
BRCA1	1.0498	adipose_subcutaneous	GTEx.v10
BRCA1	0.772099	adipose_subcutaneous	GTEx.v10
BRCA1	1.74032	adipose_subcutaneous	GTEx.v10
BRCA1	3.02998	adipose_subcutaneous	GTEx.v10
BRCA1	2.00274	adipose_subcutaneous	GTEx.v10
BRCA1	0.808892	adipose_subcutaneous	GTEx.v10
BRCA1	2.6127	adipose_subcutaneous	GTEx.v10
BRCA1	1.33288	adipose_subcutaneous	GTEx.v10
BRCA1	2.35645	adipose_subcutaneous	GTEx.v10
BRCA1	0.74574	adipose_subcutaneous	GTEx.v10
BRCA1	0.870361	adipose_subcutaneous	GTEx.v10
BRCA1	2.06868	adipose_subcutaneous	GTEx.v10
BRCA1	1.096	adipose_subcutaneous	GTEx.v10
BRCA1	0.96466	adipose_subcutaneous	GTEx.v10
BRCA1	0.323294	adipose_subcutaneous	GTEx.v10
BRCA1	1.00391	adipose_subcutaneous	GTEx.v10
BRCA1	1.78574	adipose_subcutaneous	GTEx.v10
BRCA1	1.15156	adipose_subcutaneous	GTEx.v10
BRCA1	0.974663	adipose_subcutaneous	GTEx.v10
BRCA1	0.560246	adipose_subcutaneous	GTEx.v10
BRCA1	1.86989	adipose_subcutaneous	GTEx.v10
BRCA1	2.17305	adipose_subcutaneous	GTEx.v10
BRCA1	1.48912	adipose_subcutaneous	GTEx.v10
BRCA1	0.806582	adipose_subcutaneous	GTEx.v10
BRCA1	0.807632	adipose_subcutaneous	GTEx.v10
BRCA1	1.80111	adipose_subcutaneous	GTEx.v10
BRCA1	1.36588	adipose_subcutaneous	GTEx.v10
BRCA1	2.04343	adipose_subcutaneous	GTEx.v10
BRCA1	0.999484	adipose_subcutaneous	GTEx.v10
BRCA1	1.93311	adipose_subcutaneous	GTEx.v10
BRCA1	1.84809	adipose_subcutaneous	GTEx.v10
BRCA1	1.84121	adipose_subcutaneous	GTEx.v10
BRCA1	1.29562	adipose_subcutaneous	GTEx.v10
BRCA1	1.67804	adipose_subcutaneous	GTEx.v10
BRCA1	1.62944	adipose_subcutaneous	GTEx.v10
BRCA1	2.00792	adipose_subcutaneous	GTEx.v10
BRCA1	1.27332	adipose_subcutaneous	GTEx.v10
BRCA1	1.24254	adipose_subcutaneous	GTEx.v10
BRCA1	1.04738	adipose_subcutaneous	GTEx.v10
BRCA1	1.86665	adipose_subcutaneous	GTEx.v10
BRCA1	3.74692	adipose_subcutaneous	GTEx.v10
BRCA1	0.786655	adipose_subcutaneous	GTEx.v10
BRCA1	1.04973	adipose_subcutaneous	GTEx.v10
BRCA1	1.70173	adipose_subcutaneous	GTEx.v10
BRCA1	1.22154	adipose_subcutaneous	GTEx.v10
BRCA1	2.30048	adipose_subcutaneous	GTEx.v10
BRCA1	1.13619	adipose_subcutaneous	GTEx.v10
BRCA1	1.61833	adipose_subcutaneous	GTEx.v10
BRCA1	1.21423	adipose_subcutaneous	GTEx.v10
BRCA1	1.41824	adipose_subcutaneous	GTEx.v10
BRCA1	1.6071	adipose_subcutaneous	GTEx.v10
BRCA1	1.56958	adipose_subcutaneous	GTEx.v10
BRCA1	1.45295	adipose_subcutaneous	GTEx.v10
BRCA1	1.59674	adipose_subcutaneous	GTEx.v10
BRCA1	1.03282	adipose_subcutaneous	GTEx.v10
BRCA1	1.64166	adipose_subcutaneous	GTEx.v10
BRCA1	1.9744	adipose_subcutaneous	GTEx.v10
BRCA1	1.79774	adipose_subcutaneous	GTEx.v10
BRCA1	1.9016	adipose_subcutaneous	GTEx.v10
BRCA1	1.66458	adipose_subcutaneous	GTEx.v10
BRCA1	0.431594	adipose_subcutaneous	GTEx.v10
BRCA1	1.8919	adipose_subcutaneous	GTEx.v10
BRCA1	1.46766	adipose_subcutaneous	GTEx.v10
BRCA1	1.12326	adipose_subcutaneous	GTEx.v10
BRCA1	1.7536	adipose_subcutaneous	GTEx.v10
BRCA1	1.46924	adipose_subcutaneous	GTEx.v10
BRCA1	2.71831	adipose_subcutaneous	GTEx.v10
BRCA1	1.55855	adipose_subcutaneous	GTEx.v10
BRCA1	1.94011	adipose_subcutaneous	GTEx.v10
BRCA1	2.63238	adipose_subcutaneous	GTEx.v10
BRCA1	1.38406	adipose_subcutaneous	GTEx.v10
